park_id,park_name,country,city,real_tipo_servicio,real_trips,first_seen_date,last_seen_date
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"cali, avenida 4a, 45-norte-42, municipio de santiago de cali, comuna 2, la flora""",3,2025-01-24,2025-01-31
e081e2df33a74073992c859638bdf683,Yego Medellin,co,medellin,confort+,3,2025-11-13,2025-11-14
96f5a1e493b6484e88d7fc2e3bb8cbdb,Yego,pe,lima,envíos,3,2026-01-13,2026-01-20
2e39f6699c854bc49cc75197431fe25c,Yego.,pe,lima,premier,3,2025-09-18,2025-12-03
e081e2df33a74073992c859638bdf683,Yego Medellin,co,medellin,"fitness, funcional y triatlon, calle 2 sur, 67-240, municipio de medellín, guayabal""",2,2025-02-28,2025-03-04
08e20910d81d42658d4334d3f6d10ac0,Yego,pe,lima,"focos led para auto, moto",2,2025-11-01,2025-12-29
ef21f793358144f589aabcbeb8bd7d50,Yego Barranquilla,co,barranquilla,"11.0017)""",1,2025-02-02,2025-02-02
f4ac6fdbf26043dfabdd3315bb4d679e,Yego Bogota,co,bogota,"el progreso""",1,2025-11-28,2025-11-28
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"3.36968)""",1,2025-02-25,2025-02-25
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"1402, calle 17, 1-norte-25, municipio de santiago de cali""",1,2025-09-27,2025-09-27
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"repuestos benelli, calle 9, 16-21, municipio de santiago de cali""",1,2025-01-28,2025-01-28
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"centro integral de copiado y papelería, carrera 62, municipio de santiago de cali, comuna 19""",1,2025-08-08,2025-08-08
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"cali, communa 2, cali, colombia""",1,2025-01-20,2025-01-20
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"3.46659)""",1,2025-01-14,2025-01-14
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"3.43921)""",1,2025-06-24,2025-06-24
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"3.41834)""",1,2025-01-16,2025-01-16
05b1c831e66f41a9a87f5f3fa0a186ae,Yego Cali,co,cali,"3.37199)""",1,2025-01-15,2025-01-15
6a087c4492ae49759bb23592212aa189,Yego Delivery Medellin,co,medellin,envíos,1,2025-07-29,2025-07-29
e081e2df33a74073992c859638bdf683,Yego Medellin,co,medellin,"fitness, funcional y triatlon, calle 2 sur, 67-250, municipio de medellín, guayabal""",1,2025-02-06,2025-02-06
08e20910d81d42658d4334d3f6d10ac0,Yego,pe,lima,"las verduras del angel, jirón tejada, 271a, distrital barranco""",1,2025-05-28,2025-05-28
e3e07c00ed914f82a59c03283a178d6e,Yego TukTuk,pe,lima,exprés,1,2025-09-12,2025-09-12
08e20910d81d42658d4334d3f6d10ac0,Yego,pe,lima,"miraflores, malecón balta, 956, distrital miraflores""",1,2025-06-10,2025-06-10
ae57aaedeacd41eb9fdbe1ff7a89a3f2,"Yego,",pe,lima,cargo,1,2025-11-12,2025-11-12
851e30755bba4d298e2e837f571b4ab8,Yego Trujillo,pe,trujillo,minivan,1,2025-06-27,2025-06-27
851e30755bba4d298e2e837f571b4ab8,Yego Trujillo,pe,trujillo,mensajería,1,2025-04-26,2025-04-26
